id,clean_text,sentiment
1929196197643784264,rt ai que tesao ele raivoso desse jeito,Neutral
1929196197530493032,rt jai quune chose dire merci seigneur jsuschrist dsir dou,Neutral
1929196197119471633,rt a j podemos dizer q nessa troca de concept photo os seok arrasaram e ambos serviriam muito no conceito um do outro https,Neutral
1929196196989382882,oh geez you just used mate i know youve eaten more beans and toast than a chicken has feed,Negative
1929196196964245668,rt n ai,Neutral
1929196196725199118,rt aiai,Neutral
1929196196716769496,rt goat network tge is approaching and were delighted to join forces with the chad team to give our community,Positive
1929196196586766573,searching for instore availability for an item in vancouver and the closest store i get is portland the world is talking about ai and your store search is worse then internet,Negative
1929196196515418308,les filles les femmes il faut vraiment que lon se rveille cest pas possible de lire je nai pas de fille mais je ne veux pas de ce monde jai duqu mon fils au respect de tt le monde hors de question quil ctoie ces abrutis,Neutral
1929196196473770270,rt n ai,Neutral
